,id,class,label,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,1,Angry,1,angry (1).mp3,117.4538352,150774,1396.055556,0.4953445,0.28495678,0.08120037,0.32822722,0.29847562,0.089087695,0.201467,0.20674716,0.042744387,27.91269,251.80977,63408.156,3.2855976,40.96508,1678.138,0.014078822,2.2777905,5.1883297,0.2984357,0.17662998,0.03119815,2023.43485,808.4179789,653539.6287,2505.792103,667.2022711,445158.8706,22.05372771,11.1224212,123.7082534,4755.008747,2001.232671,4004932.202,2.552892118,3.261703562,10.63871012,-0.030587277,0.181263115,0.032856317,0.055685415,0.060965247,0.003716761,-9.17E-05,0.3198624,0.10231195,-0.001472501,0.090975344,0.008276513,10.17382313,6.816574619,46.46568953
2,2,Angry,1,angry (10).mp3,107.6660156,137825,1288.084112,0.34189212,0.29954565,0.08972759,0.45855677,0.28378776,0.080535494,0.24813534,0.14752011,0.021762181,7.7300563,52.681957,2775.3884,-1.1601142,40.238304,1619.1211,0.014270962,2.8754063,8.2679615,0.16728792,0.08447512,0.007136046,2068.048143,780.0801933,608525.108,2207.330431,471.1668192,221998.1715,24.7279317,11.6033519,134.6377754,4195.553797,1704.225054,2904383.035,2.083137757,2.708963421,7.338482815,0.051196021,0.139955083,0.019587425,0.089294812,0.048157501,0.002319145,-1.46E-06,0.12865731,0.016552703,-4.98E-06,0.09879095,0.009759652,3.190421769,2.107617354,4.442050912
3,3,Angry,1,angry (11).mp3,129.1992188,166026,1317.666667,0.36355972,0.30969256,0.09590948,0.47163838,0.28780854,0.08283376,0.24348557,0.15507452,0.024048109,18.203005,139.58525,19484.043,1.5919412,44.111565,1945.8301,0.014248313,2.339693,5.4741635,0.2491439,0.1446726,0.02093016,2715.562492,1002.045931,1004096.048,2749.121808,590.5131707,348705.8048,23.37475516,11.12037458,123.6627309,6037.209327,2195.070007,4818332.334,2.759728527,3.657919752,13.38037691,0.026151098,0.145553218,0.021185739,0.108603085,0.076092638,0.00579009,-9.06E-06,0.22226706,0.049402647,-0.000141058,0.11789018,0.013898095,3.524789116,1.455181794,2.117554053
4,4,Angry,1,angry (12).mp3,123.046875,154017,1272.867769,0.36658293,0.30804947,0.09489447,0.4790233,0.25717828,0.06614067,0.25948215,0.12650037,0.016002344,16.909307,147.2577,21684.832,-0.2790634,29.968086,898.08624,0.013213777,3.3841667,11.452584,0.251684,0.12340985,0.015229993,2902.114341,999.0248205,998050.5919,2764.353526,485.3502232,235564.8391,21.21353789,11.03310308,121.7293635,6195.962534,1822.505953,3321527.951,3.108511108,3.980520762,15.84454554,0.007725932,0.084460779,0.007133623,0.131663981,0.086138914,0.007419913,-2.51E-05,0.16210388,0.026277665,-0.000199008,0.17190519,0.029551392,3.117278912,1.44457,2.086782484
5,5,Angry,1,angry (13).mp3,117.4538352,144954,1271.526316,0.3934498,0.31537768,0.09946308,0.4692013,0.28713086,0.08244413,0.24393219,0.15437105,0.023830421,11.739474,172.25526,29671.877,-0.8520382,44.238583,1957.0521,0.010235935,3.564371,12.7047415,0.17224601,0.14575365,0.02124413,2550.90855,880.149762,774663.6036,2726.173172,445.4860199,198457.7939,22.63512111,11.36334316,129.1255678,5771.381768,1815.655017,3296603.142,1.683840882,2.476684828,6.133967735,-0.027503001,0.131724457,0.017351333,0.099536246,0.068992642,0.004759985,-4.20E-06,0.13811955,0.019077009,7.92E-06,0.14362729,0.020628797,2.14552381,0.974585507,0.94981691
6,6,Angry,1,angry (14).mp3,86.1328125,103458,1521.441176,0.41108173,0.30125847,0.09075666,0.28290325,0.2935861,0.086192794,0.18916693,0.2180578,0.047549203,17.363735,153.03691,23420.297,-0.68393236,45.324814,2054.3386,0.012471892,1.7984811,3.2345343,0.23624833,0.14441824,0.020856626,2210.416607,1142.04755,1304272.606,2402.866922,847.1993563,717746.7494,22.93062497,10.86521624,118.052924,4848.83318,2515.99895,6330250.717,2.456058004,3.37928637,11.41957637,0.06657251,0.212561196,0.045182262,0.066044007,0.04808826,0.002312481,-4.55E-06,0.24184786,0.058490388,-4.90E-05,0.0972016,0.009448151,12.31354195,3.009346435,9.056165963
7,7,Angry,1,angry (15).mp3,117.4538352,151050,1291.025641,0.34274608,0.30371228,0.09224115,0.5470396,0.25576907,0.065417826,0.26802194,0.10722678,0.011497582,12.07267,91.29393,8334.582,-1.754038,39.912006,1592.9684,0.010539806,3.963182,15.706812,0.20332143,0.11427332,0.013058391,2351.778926,930.9435971,866655.981,2472.016404,587.0912274,344676.1093,22.38359622,11.02388554,121.5260523,5006.761391,1994.244374,3977010.622,2.379854835,3.233954279,10.45846028,0.0037384,0.0840477,0.007064016,0.102344241,0.067094361,0.004501653,-3.18E-05,0.14272472,0.020370347,0.000469154,0.14444202,0.020863498,4.40830839,1.920056842,3.686618278
8,8,Angry,1,angry (16).mp3,99.38401442,126862,1281.434343,0.35443124,0.31113905,0.09680751,0.4655006,0.26141927,0.06834003,0.25144276,0.1418093,0.020109879,25.205547,228.58672,52251.887,3.0722106,36.071724,1301.1692,0.01260445,3.1128056,9.689558,0.30427778,0.14707786,0.021631896,2151.227138,945.0229024,893068.2861,2277.360029,679.7990927,462126.8065,22.96902458,10.96399646,120.2092184,4369.119414,2169.922757,4708564.773,3.340114,4.057659195,16.46459814,-0.005564036,0.100458695,0.010091949,0.097146049,0.06246504,0.003901881,5.90E-05,0.25731555,0.06621129,0.000187821,0.14378764,0.020674886,2.220988662,1.188359871,1.412199184
9,9,Angry,1,angry (17).mp3,143.5546875,186320,1284.965517,0.37450394,0.30888915,0.0954125,0.51246285,0.29489696,0.08696421,0.2551137,0.13509378,0.01825033,14.11473,179.4314,32195.625,0.29421085,33.484825,1121.2334,0.011364291,2.9830606,8.89865,0.21228565,0.13557324,0.018380102,2640.206861,1012.30235,1024756.049,2574.060961,530.0116106,280912.3074,23.77780495,11.62984161,135.2532159,5511.037509,2002.836253,4011353.057,2.370230829,3.093977939,9.572699486,-0.0370756,0.120473257,0.014513806,0.118090367,0.067801122,0.004596992,-3.72E-05,0.15527414,0.024110056,-0.000898503,0.1584038,0.025091764,3.208997732,1.810272102,3.277085084
10,10,Angry,1,angry (18).mp3,117.4538352,151050,1291.025641,0.34274608,0.30371228,0.09224115,0.5470396,0.25576907,0.065417826,0.26802194,0.10722678,0.011497582,12.07267,91.29393,8334.582,-1.754038,39.912006,1592.9684,0.010539806,3.963182,15.706812,0.20332143,0.11427332,0.013058391,2351.778926,930.9435971,866655.981,2472.016404,587.0912274,344676.1093,22.38359622,11.02388554,121.5260523,5006.761391,1994.244374,3977010.622,2.379854835,3.233954279,10.45846028,0.0037384,0.0840477,0.007064016,0.102344241,0.067094361,0.004501653,-3.18E-05,0.14272472,0.020370347,0.000469154,0.14444202,0.020863498,4.40830839,1.920056842,3.686618278
